player_id,full_name,recent_team,season,week,pass_comp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rec,rec_yds,position,headshot_url,scrim_yds
00-0036555,Chuba Hubbard,CAR,2022,1,0,0,0,0,0,1,3,0,0,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t4fgherebb4wc3mtyfrk",3
00-0036556,Brevin Jordan,HOU,2022,1,0,0,0,0,0,0,0,1,5,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jq0vmujycrgmnqlevj4b",5
00-0036567,Elijah Mitchell,SF,2022,1,0,0,0,0,0,6,41,0,0,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pylj2udt3klrdmskh3qi",41
00-0036572,Shi Smith,CAR,2022,1,0,0,0,0,0,0,0,1,12,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dreb8ikx3agnwicj9woi",12
00-0036613,Jaylen Waddle,MIA,2022,1,0,0,0,0,0,1,8,4,69,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nlneyg7usy4pn9psbnru",77
00-0036620,DWayne Eskridge,SEA,2022,1,0,0,0,0,0,0,0,1,0,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lwg4cpbjcdcgoru2emht",0
00-0036628,John Bates,WAS,2022,1,0,0,0,0,0,0,0,0,0,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/uhuncx8qb6b3grbfztg8",0
00-0036630,Tylan Wallace,BAL,2022,1,0,0,0,0,0,0,0,0,0,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/oqnsfzjlifv4ds6sgwew",0
00-0036637,Noah Gray,KC,2022,1,0,0,0,0,0,0,0,1,10,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rspbrsndlngbhc78ldow",10
00-0036646,Simi Fehoko,DAL,2022,1,0,0,0,0,0,0,0,2,12,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ua8ymzpfwsoibof6cpwp",12
00-0036654,Demetric Felton,CLE,2022,1,0,0,0,0,0,0,0,0,0,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pfjsjpzj2f9cn39xqde2",0
00-0036671,Dax Milne,WAS,2022,1,0,0,0,0,0,0,0,0,0,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ze864mnbymqdyvcsixw2",0
00-0036849,Tutu Atwell,LA,2022,1,0,0,0,0,0,0,0,0,0,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/in2kbm5hsnkjsfbteoee",0
00-0036862,Ben Skowronek,LA,2022,1,0,0,0,0,0,0,0,4,25,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hud5c4tf8corgoehrvc1",25
00-0036875,Rhamondre Stevenson,NE,2022,1,0,0,0,0,0,8,25,2,2,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ro2fqabc4qndtnxykvm7",27
00-0036876,Kylen Granson,IND,2022,1,0,0,0,0,0,0,0,3,22,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t3lbs3ss6y4mto2lkjjh",22
00-0036877,Jaelon Darden,TB,2022,1,0,0,0,0,0,1,2,0,0,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mflnzqdp8mfwkoahmwgq",2
00-0036893,Najee Harris,PIT,2022,1,0,0,0,0,0,10,23,2,3,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lj0qlwa2pvyrihyiriox",26
00-0036894,Pat Freiermuth,PIT,2022,1,0,0,0,0,0,0,0,5,75,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nx6quzjf2cfaeullln5c",75
00-0036898,Davis Mills,HOU,2022,1,23,37,240,2,0,1,1,0,0,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/objv34ak0xhzjvixm5sr",1
00-0036900,JaMarr Chase,CIN,2022,1,0,0,0,0,0,0,0,10,129,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hwrzdfsng9bh4tba7uoe",129
00-0036906,Khalil Herbert,CHI,2022,1,0,0,0,0,0,9,45,1,-2,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dua1pjsu1lyxcfvymslq",43
00-0036912,DeVonta Smith,PHI,2022,1,0,0,0,0,0,0,0,0,0,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hzgzhf2omiobrvqdifqr",0
00-0036913,Kadarius Toney,NYG,2022,1,0,0,0,0,0,2,23,0,0,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dioxbhcty68ufkn5jso4",23
00-0036919,Kenneth Gainwell,PHI,2022,1,0,0,0,0,0,5,20,2,12,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jufq7kyl2tynrtfsvxu1",32
00-0036924,Michael Carter,NYJ,2022,1,0,0,0,0,0,10,60,7,40,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jiinzvhox07m9uijmz5m",100
00-0036945,Justin Fields,CHI,2022,1,8,17,121,2,1,8,30,0,0,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wllk6sizrqmxhcjavard",30
00-0036950,Avery Williams,ATL,2022,1,0,0,0,0,0,2,7,1,8,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vklxheixuozmpqk2emyw",15
00-0036963,Amon-Ra St Brown,DET,2022,1,0,0,0,0,0,0,0,8,64,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tlas9vqczunxkpb2jlz1",64
