week,year,Pos,Team,H.A,Oppt,DKP,DKSalary,player
17,2014,TE,ARI,a,SF,5.9,3000,Darren Fells
17,2014,TE,DET,a,GB,5.8,3000,Eric Ebron
17,2014,TE,BUF,a,NE,5.5,3000,Marqueis Gray
17,2014,TE,MIN,h,CHI,5.3,3000,Rhett Ellison
17,2014,TE,SEA,h,STL,5.2,4200,Luke Willson
17,2014,TE,CAR,a,ATL,4.7,5600,Greg Olsen
17,2014,TE,NYG,h,PHI,4.6,3500,Larry Donnell
17,2014,TE,LV,a,DEN,4.6,3300,Mychal Rivera
17,2014,TE,CHI,a,MIN,4.5,3000,Dante Rosario
17,2014,TE,WAS,h,DAL,3.9,3000,Niles Paul
17,2014,TE,NO,a,TB,3.8,3000,Ben Watson
17,2014,TE,MIA,h,NYJ,3.5,3000,Dion Sims
17,2014,TE,ATL,h,CAR,3.4,3000,Levine Toilolo
17,2014,TE,BAL,h,CLE,3.2,3000,Crockett Gillmore
17,2014,TE,SEA,h,STL,3.1,3000,Tony Moeaki
17,2014,TE,ARI,a,SF,3,3000,Rob Housler
17,2014,TE,BUF,a,NE,3,3500,Scott Chandler
17,2014,TE,BUF,a,NE,2.8,3000,Lee Smith
17,2014,TE,STL,a,SEA,2.7,3000,Lance Kendricks
17,2014,TE,NE,h,BUF,2.5,3000,Tim Wright
17,2014,TE,SF,h,ARI,1.9,3000,Vernon Davis
17,2014,TE,HOU,h,JAX,1.8,3000,Ryan Griffin
17,2014,TE,ARI,a,SF,1.6,3000,John Carlson
17,2014,TE,ATL,h,CAR,1.2,3000,Bear Pascoe
17,2014,TE,DAL,a,WAS,1.2,3000,James Hanna
17,2014,TE,CHI,a,MIN,0,3000,Blake Annen
17,2014,TE,CIN,a,PIT,0,3000,Clark Harris
17,2014,TE,PHI,a,NYG,0,3000,Trey Burton
17,2014,TE,PHI,a,NYG,0,3000,James Casey
17,2014,TE,MIN,h,CHI,0,3200,Kyle Rudolph
17,2014,TE,WAS,h,DAL,0,3000,Logan Paulsen
17,2014,TE,TEN,h,IND,0,3000,Matthew Mulligan
17,2014,TE,DET,a,GB,0,3000,Kellen Davis
17,2014,TE,PIT,h,CIN,0,3000,Matt Spaeth
17,2014,TE,JAX,a,HOU,0,3200,Marcedes Lewis
17,2014,TE,DEN,h,LV,0,4900,Julius Thomas
17,2014,TE,NYG,h,PHI,0,3000,Daniel Fells
17,2014,TE,CIN,a,PIT,0,3000,Kevin Brock
