dateGame,locationGame,slugTeam,Opp,namePlayer,fgm,fga,3-pointers,fg3a,fg2m,fg2a,minutes,ftm,fta,rebounds,assists,steals,blocks,turnovers,points,fpts,urlPlayerHeadshot
2019-12-31,A,BOS,CHA,Jayson Tatum,10,18,4,7,6,11,36,0,0,7,1,3,1,3,24,42.9,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628369.png
2019-12-31,A,BOS,CHA,Grant Williams,0,3,0,2,0,1,9,0,0,2,0,0,0,0,0,2.4,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629684.png
2019-12-31,H,CHA,BOS,PJ Washington,5,11,3,5,2,6,36,2,4,5,3,3,1,5,15,32.5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629023.png
2019-12-31,H,CHA,BOS,Devonte' Graham,3,12,3,9,0,3,38,2,2,4,7,1,1,3,11,29.3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628984.png
2019-12-31,H,CHA,BOS,Miles Bridges,5,9,1,1,4,8,32,3,3,10,4,1,1,2,14,36,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628970.png
2019-12-31,H,SAC,LAC,Justin James,0,0,0,0,0,0,1,1,2,1,0,0,0,0,1,2.2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629713.png
2019-12-31,A,LAC,SAC,Amir Coffey,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629599.png
2019-12-31,A,LAC,SAC,Montrezl Harrell,2,9,0,0,2,9,24,3,4,6,1,1,0,2,7,16.7,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626149.png
2019-12-31,A,LAC,SAC,Paul George,6,25,3,14,3,11,40,6,6,11,9,3,0,0,21,56.7,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202331.png
2019-12-31,H,SAC,LAC,De'Aaron Fox,3,10,1,2,2,8,32,2,4,4,6,2,0,1,9,27.8,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628368.png
2019-12-31,H,SAC,LAC,Cory Joseph,3,6,1,2,2,4,14,0,0,3,0,1,0,0,7,13.6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202709.png
2019-12-31,H,SAC,LAC,Buddy Hield,7,17,3,10,4,7,37,3,3,6,5,0,0,3,20,31.7,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627741.png
2019-12-31,A,LAC,SAC,Jerome Robinson,0,0,0,0,0,0,5,2,2,0,1,1,0,2,2,4.5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629010.png
2019-12-31,A,LAC,SAC,Kawhi Leonard,8,21,1,7,7,14,38,7,7,2,7,2,0,2,24,40.9,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202695.png
2019-12-31,H,SAC,LAC,Harry Giles,3,8,0,0,3,8,17,0,0,2,1,2,0,3,6,12.9,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628385.png
2019-12-31,A,LAC,SAC,Landry Shamet,3,5,3,4,0,1,25,0,0,2,1,0,0,1,9,11.9,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629013.png
2019-12-31,H,SAC,LAC,Richaun Holmes,8,13,0,0,8,13,31,6,6,10,0,1,3,2,22,44,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626158.png
2019-12-31,A,LAC,SAC,Rodney McGruder,2,4,0,1,2,3,17,0,0,5,0,1,0,0,4,13,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203585.png
2019-12-31,A,LAC,SAC,Derrick Walton,4,5,2,3,2,2,19,0,0,2,1,0,0,0,10,13.9,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628476.png
2019-12-31,H,SAC,LAC,Yogi Ferrell,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627812.png
2019-12-31,A,LAC,SAC,JaMychal Green,2,5,2,5,0,0,25,0,0,3,0,0,1,2,6,10.6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203210.png
2019-12-31,H,SAC,LAC,Wenyen Gabriel,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629117.png
